country,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,date,source,status,url
Barbados,NA,0,NA,NA,2021-04-06,manually,automated,https://gisbarbados.gov.bb/blog/covid-19-situation-dashboard-january-05-2021/
Bolivia,NA,0,NA,NA,2021-04-06,manually,image,https://www.minsalud.gob.bo/
China,NA,0,NA,NA,2021-04-06,manually,without_information,NA
CostaRica,NA,0,NA,NA,2021-04-06,manually,csv,http://geovision.uned.ac.cr/oges/index.html
Cuba,NA,0,NA,NA,2021-04-06,manually,not_yet_automated,http://www.cubadebate.cu/?s=Cuba+reporta
Cyprus,NA,0,NA,NA,2021-04-06,manually,not_yet_automated_daily,https://covid19.ucy.ac.cy/
Denmark,NA,0,NA,NA,2021-04-06,manually,automated,https://www.sst.dk/en/english/corona-eng/status-of-the-epidemic/covid-19-updates-statistics-and-charts
Dominica,NA,0,NA,NA,2021-04-06,manually,image,https://www.facebook.com/SupportRooseveltSkerrit/photos
DominicanRepublic,NA,0,NA,NA,2021-04-06,manually,pdf,https://www.msp.gob.do/web/?page_id=6948#1586785071781-f0e8c057-f5f4
FrenchPolynesia,NA,0,NA,NA,2021-04-06,manually,without_information,https://www.presidence.pf/?s=Coronavirus+COVID-19+le+point+sur+la+situation
Germany,NA,0,NA,NA,2021-04-06,manually,xslx,https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Situationsberichte/Okt_2020/Archiv_Oktober.html
Greenland,NA,0,NA,NA,2021-04-06,manually,automated,https://nun.gl/emner/borgere/coronavirus_emne/foelg_smittespredningen?sc_lang=da
Grenada,NA,0,NA,NA,2021-04-06,manually,facebook,https://web.facebook.com/HealthGrenada/photos/a.570448523487244/952200915312001
Guyana,NA,0,NA,NA,2021-04-06,manually,image,https://www.health.gov.gy/index.php/component/k2/item/354-guyana-covid-19-dashboard
Honduras,NA,0,NA,NA,2021-04-06,manually,image,http://www.desastres.hn/COVID-19/COVID-19.png
HongKong,NA,0,NA,NA,2021-04-06,manually,pdf,https://www.chp.gov.hk/files/pdf/statistics_on_covid_19_testing.pdf
Jamaica,NA,0,NA,NA,2021-04-06,manually,automated,https://www.moh.gov.jm/?s=COVID-19+Clinical+Management+Summary
Japan,NA,0,NA,NA,2021-04-06,manually,automated,https://www.mhlw.go.jp/stf/houdou/houdou_list_202007.html
Kyrgyzstan,NA,0,NA,NA,2021-04-06,manually,image,https://www.instagram.com/daryger_sunushu/
Luxembourg,NA,0,NA,NA,2021-04-06,manually,not_yet_automated_daily,https://msan.gouvernement.lu/fr/graphiques-evolution.html
Malaysia,NA,0,NA,NA,2021-04-06,manually,facebook,https://www.facebook.com/kementeriankesihatanmalaysia/photos/10157490776386237
Maldives,NA,0,NA,NA,2021-04-06,manually,twitter,https://twitter.com/HPA_MV/status/1348675860627419136
Montenegro,NA,0,NA,NA,2021-04-06,manually,without_information,https://www.ijzcg.me/me/coronainfocg
Netherlands,NA,0,NA,NA,2021-04-06,manually,not_yet_automated_weekly,https://www.rivm.nl/en/novel-coronavirus-covid-19/current-information
Oman,NA,0,NA,NA,2021-04-06,manually,twitter,https://twitter.com/OmanVSCovid19
Paraguay,NA,0,NA,NA,2021-04-06,manually,special_dashboard,https://www.mspbs.gov.py/reporte-covid19.html
Peru,NA,0,NA,NA,2021-04-06,manually,xslx,https://covid19.minsa.gob.pe/sala_situacional.asp
Philippines,NA,0,NA,NA,2021-04-06,manually,special_dashboard,https://www.doh.gov.ph/covid19tracker
SaintVincentandtheGrenadines,NA,0,NA,NA,2021-04-06,manually,image,https://www.facebook.com/SVGHEALTH/photos
Scotland,NA,0,NA,NA,2021-04-06,manually,special_dashboard,https://public.tableau.com/profile/phs.covid.19#!/vizhome/COVID-19DailyDashboard_15960160643010/Dailyupdate
SriLanka,NA,0,NA,NA,2021-04-06,manually,automated,https://www.hpb.health.gov.lk/en
Sweden,NA,0,NA,NA,2021-04-06,manually,pdf,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/antalet-testade-for-covid-19/
Tajikistan,NA,0,NA,NA,2021-04-06,manually,without_information,https://eurasianet.org/dashboard-coronavirus-in-eurasia
Thailand,NA,0,NA,NA,2021-04-06,manually,automated,https://ddc.moph.go.th/viralpneumonia/eng/index.php
TheBahamas,NA,0,NA,NA,2021-04-06,manually,facebook,https://www.facebook.com/MOHBahamas/
TrinidadandTobago,NA,0,NA,NA,2021-04-06,manually,pdf,http://www.health.gov.tt/sitepages/default.aspx?id=293
Uzbekistan,NA,0,NA,NA,2021-04-06,manually,without_information,https://t.me/koronavirusinfouz/3470
Venezuela,NA,0,NA,NA,2021-04-06,manually,without_information,https://covid19.patria.org.ve/?s=de+la+lucha+contra+la+COVID-19%3A
Vietnam,NA,0,NA,NA,2021-04-06,manually,without_information,https://ncov.moh.gov.vn/?fbclid=IwAR1JDjulr5Ni19WcUWqQqugrEN7Ta6HcGEMqEhdgzifWiSGlIxwknKr9VuU
