country,date,tests_cumulative,new_tests,tests_cumulative_corrected,new_tests_corrected,source
Afghanistan,2021-02-26,NA,NA,NA,NA,fetch
Afghanistan,2021-02-27,NA,NA,NA,NA,fetch
Afghanistan,2021-02-28,NA,NA,NA,NA,fetch
Afghanistan,2021-03-01,NA,NA,NA,NA,fetch
Afghanistan,2021-03-02,NA,NA,NA,NA,fetch
Afghanistan,2021-03-03,NA,NA,NA,NA,fetch
Afghanistan,2021-03-04,NA,NA,NA,NA,fetch
Afghanistan,2021-03-05,NA,NA,NA,NA,fetch
Afghanistan,2021-03-06,NA,NA,NA,NA,fetch
Afghanistan,2021-03-07,NA,NA,NA,NA,fetch
Afghanistan,2021-03-08,NA,NA,NA,NA,fetch
Afghanistan,2021-03-09,NA,NA,NA,NA,fetch
Afghanistan,2021-03-10,NA,NA,NA,NA,fetch
Afghanistan,2021-03-11,NA,NA,NA,NA,fetch
Afghanistan,2021-03-12,NA,NA,NA,NA,fetch
Afghanistan,2021-03-13,NA,NA,NA,NA,fetch
Afghanistan,2021-03-14,NA,NA,NA,NA,fetch
Afghanistan,2021-03-15,NA,NA,NA,NA,fetch
Afghanistan,2021-03-16,NA,NA,NA,NA,fetch
Afghanistan,2021-03-17,NA,NA,NA,NA,fetch
Afghanistan,2021-03-18,NA,NA,NA,NA,fetch
Afghanistan,2021-03-19,NA,NA,NA,NA,fetch
Afghanistan,2021-03-20,NA,NA,NA,NA,fetch
Afghanistan,2021-03-21,NA,NA,NA,NA,fetch
Afghanistan,2021-03-22,NA,NA,NA,NA,fetch
Afghanistan,2021-03-23,NA,NA,NA,NA,fetch
Afghanistan,2021-03-24,NA,NA,NA,NA,fetch
Afghanistan,2021-03-25,NA,NA,NA,NA,fetch
Afghanistan,2021-03-26,NA,NA,NA,NA,fetch
Afghanistan,2021-03-27,NA,NA,NA,NA,fetch
Afghanistan,2021-03-28,NA,NA,NA,NA,fetch
Afghanistan,2021-03-29,NA,NA,NA,NA,fetch
Afghanistan,2021-03-30,NA,NA,NA,NA,fetch
Afghanistan,2021-03-31,NA,NA,NA,NA,fetch
Afghanistan,2021-04-01,NA,NA,NA,NA,fetch
Afghanistan,2021-04-02,NA,NA,NA,NA,fetch
Afghanistan,2021-04-03,NA,NA,NA,NA,fetch
Afghanistan,2021-04-04,NA,NA,NA,NA,fetch
Afghanistan,2021-04-05,NA,NA,NA,NA,fetch
Afghanistan,2021-04-06,NA,NA,NA,NA,fetch
Afghanistan,2021-04-07,NA,NA,NA,NA,fetch
Afghanistan,2021-04-08,NA,NA,NA,NA,fetch
Afghanistan,2021-04-09,NA,NA,NA,NA,fetch
Afghanistan,2021-04-10,NA,NA,NA,NA,fetch
Afghanistan,2021-04-11,NA,NA,NA,NA,fetch
Afghanistan,2021-04-12,NA,NA,NA,NA,fetch
Afghanistan,2021-04-13,NA,NA,NA,NA,fetch
Afghanistan,2021-04-14,NA,NA,NA,NA,fetch
Afghanistan,2021-04-15,NA,NA,NA,NA,fetch
Afghanistan,2021-04-16,NA,NA,NA,NA,fetch
Afghanistan,2021-04-17,NA,NA,NA,NA,fetch
Afghanistan,2021-04-18,NA,NA,NA,NA,fetch
Afghanistan,2021-04-19,NA,NA,NA,NA,fetch
Afghanistan,2021-04-20,NA,NA,NA,NA,fetch
Afghanistan,2021-04-21,NA,NA,NA,NA,fetch
Afghanistan,2021-04-22,NA,NA,NA,NA,fetch
Afghanistan,2021-04-23,NA,NA,NA,NA,fetch
Afghanistan,2021-04-24,NA,NA,NA,NA,fetch
Afghanistan,2021-04-25,NA,NA,NA,NA,fetch
Afghanistan,2021-04-26,NA,NA,NA,NA,fetch
Afghanistan,2021-04-27,NA,NA,NA,NA,fetch
Afghanistan,2021-04-28,NA,NA,NA,NA,fetch
Afghanistan,2021-04-29,NA,NA,NA,NA,fetch
Afghanistan,2021-04-30,NA,NA,NA,NA,fetch
Afghanistan,2021-05-01,NA,NA,NA,NA,fetch
Afghanistan,2021-05-02,NA,NA,NA,NA,fetch
Afghanistan,2021-05-03,NA,NA,NA,NA,fetch
Afghanistan,2021-05-04,NA,NA,NA,NA,fetch
Afghanistan,2021-05-05,NA,NA,NA,NA,fetch
Afghanistan,2021-05-06,NA,NA,NA,NA,fetch
Afghanistan,2021-05-07,NA,NA,NA,NA,fetch
Afghanistan,2021-05-08,NA,NA,NA,NA,fetch
Afghanistan,2021-05-09,NA,NA,NA,NA,fetch
Afghanistan,2021-05-10,NA,NA,NA,NA,fetch
Afghanistan,2021-05-11,NA,NA,NA,NA,fetch
Afghanistan,2021-05-12,NA,NA,NA,NA,fetch
Afghanistan,2021-05-13,NA,NA,NA,NA,selenium
Afghanistan,2021-05-14,NA,NA,NA,NA,selenium
Afghanistan,2021-05-15,NA,NA,NA,NA,selenium
Afghanistan,2021-05-16,NA,NA,NA,NA,selenium
Afghanistan,2021-05-17,NA,NA,NA,NA,selenium
Afghanistan,2021-05-18,NA,NA,NA,NA,selenium
Afghanistan,2021-05-19,NA,NA,NA,NA,selenium
Afghanistan,2021-05-20,NA,NA,NA,NA,selenium
Afghanistan,2021-05-21,NA,NA,NA,NA,selenium
Afghanistan,2021-05-22,NA,NA,NA,NA,selenium
Afghanistan,2021-05-23,NA,NA,NA,NA,selenium
Afghanistan,2021-05-24,NA,NA,NA,NA,selenium
Afghanistan,2021-05-25,NA,NA,NA,NA,selenium
Afghanistan,2021-05-26,NA,NA,NA,NA,selenium
Afghanistan,2021-05-27,NA,NA,NA,NA,selenium
Afghanistan,2021-05-28,NA,NA,NA,NA,selenium
Afghanistan,2021-05-29,NA,NA,NA,NA,selenium
Afghanistan,2021-05-30,NA,NA,NA,NA,selenium
Afghanistan,2021-05-31,NA,NA,NA,NA,selenium
Afghanistan,2021-06-01,NA,NA,NA,NA,selenium
Afghanistan,2021-06-02,NA,NA,NA,NA,selenium
Afghanistan,2021-06-03,NA,NA,NA,NA,selenium
Afghanistan,2021-06-04,NA,NA,NA,NA,selenium
Afghanistan,2021-06-05,NA,NA,NA,NA,selenium
Afghanistan,2021-06-06,NA,NA,NA,NA,selenium
Afghanistan,2021-06-07,NA,NA,NA,NA,selenium
Afghanistan,2021-06-08,NA,NA,NA,NA,selenium
Afghanistan,2021-06-09,NA,NA,NA,NA,selenium
Afghanistan,2021-06-10,NA,NA,NA,NA,selenium
Afghanistan,2021-06-11,NA,NA,NA,NA,selenium
Afghanistan,2021-06-12,NA,NA,NA,NA,selenium
Afghanistan,2021-06-13,NA,NA,NA,NA,selenium
Afghanistan,2021-06-14,NA,NA,NA,NA,selenium
Afghanistan,2021-06-15,NA,NA,NA,NA,selenium
Afghanistan,2021-06-16,NA,NA,NA,NA,selenium
Afghanistan,2021-06-17,NA,NA,NA,NA,selenium
Afghanistan,2021-06-18,NA,NA,NA,NA,selenium
Afghanistan,2021-06-19,NA,NA,NA,NA,selenium
Afghanistan,2021-06-20,NA,NA,NA,NA,selenium
Afghanistan,2021-06-21,NA,NA,NA,NA,selenium
Afghanistan,2021-06-22,NA,NA,NA,NA,selenium
Afghanistan,2021-06-23,NA,NA,NA,NA,selenium
Afghanistan,2021-06-24,NA,NA,NA,NA,selenium
Afghanistan,2021-06-25,NA,NA,NA,NA,selenium
Afghanistan,2021-06-26,NA,NA,NA,NA,selenium
Afghanistan,2021-06-27,NA,NA,NA,NA,selenium
Afghanistan,2021-06-28,NA,NA,NA,NA,selenium
Afghanistan,2021-06-29,NA,NA,NA,NA,selenium
Afghanistan,2021-06-30,NA,NA,NA,NA,selenium
Afghanistan,2021-07-01,NA,NA,NA,NA,selenium
Afghanistan,2021-07-02,NA,NA,NA,NA,selenium
Afghanistan,2021-07-03,NA,NA,NA,NA,selenium
Afghanistan,2021-07-04,NA,NA,NA,NA,selenium
Afghanistan,2021-07-05,NA,NA,NA,NA,selenium
Afghanistan,2021-07-06,NA,NA,NA,NA,selenium
Afghanistan,2021-07-07,NA,NA,NA,NA,selenium
Afghanistan,2021-07-08,NA,NA,NA,NA,selenium
Afghanistan,2021-07-09,NA,NA,NA,NA,selenium
Afghanistan,2021-07-10,NA,NA,NA,NA,selenium
Afghanistan,2021-07-11,NA,NA,NA,NA,selenium
Afghanistan,2021-07-12,NA,NA,NA,NA,selenium
Afghanistan,2021-07-13,NA,NA,NA,NA,selenium
Afghanistan,2021-07-14,NA,NA,NA,NA,selenium
Afghanistan,2021-07-15,NA,NA,NA,NA,selenium
Afghanistan,2021-07-16,NA,NA,NA,NA,selenium
Afghanistan,2021-07-17,NA,NA,NA,NA,selenium
Afghanistan,2021-07-18,NA,NA,NA,NA,selenium
Afghanistan,2021-07-19,NA,NA,NA,NA,selenium
Afghanistan,2021-07-20,NA,NA,NA,NA,selenium
Afghanistan,2021-07-21,NA,NA,NA,NA,selenium
Afghanistan,2021-07-22,NA,NA,NA,NA,selenium
Afghanistan,2021-07-23,NA,NA,NA,NA,selenium
Afghanistan,2021-07-24,NA,NA,NA,NA,selenium
Afghanistan,2021-07-25,NA,NA,NA,NA,selenium
Afghanistan,2021-07-26,NA,NA,NA,NA,selenium
Afghanistan,2021-07-27,NA,NA,NA,NA,selenium
Afghanistan,2021-07-28,NA,NA,NA,NA,selenium
Afghanistan,2021-07-29,NA,NA,NA,NA,selenium
Afghanistan,2021-07-30,NA,NA,NA,NA,selenium
Afghanistan,2021-07-31,NA,NA,NA,NA,selenium
Afghanistan,2021-08-01,NA,NA,NA,NA,selenium
Afghanistan,2021-08-02,NA,NA,NA,NA,selenium
